1,Canadians say “sorry” so much that a law was passed in 2009 declaring that an apology can’t be used as evidence of admission to guilt.
2,"Back when dinosaurs existed, there used to be volcanoes that were erupting on the moon."
3,The only letter that doesn’t appear on the periodic table is J.
4,"One habit of intelligent humans is being easily annoyed by people around them, but saying nothing in order to avoid a meaningless argument."
5,"If a Polar Bear and a Grizzly Bear mate, their offspring is called a “Pizzy Bear”."
6,"In 2006, a Coca-Cola employee offered to sell Coca-Cola secrets to Pepsi. Pepsi responded by notifying Coca-Cola."
7,"There were two AI chatbots created by Facebook to talk to each other, but they were shut down after they started communicating in a language they made for themselves."
8,Nintendo trademarked the phrase “It’s on like Donkey Kong” in 2010.
9,Calling “shotgun” when riding in a car comes from the term “shotgun messenger”.
10,"The famous line in Titanic from Leonardo DiCaprio, “I’m king of the world!” was improvised."
11,A single strand of Spaghetti is called a “Spaghetto”.
12,"There is actually a difference between coffins and caskets – coffins are typically tapered and six-sided, while caskets are rectangular."
13,"Sunflowers can help clean radioactive soil. Japan is using this to rehabilitate Fukashima. Almost 10,000 packets of sunflower seeds have been sold to the people of the city."
14,"To leave a party without telling anyone is called in English, a “French Exit”. In French, it’s called a “partir à l’anglaise”, to leave like the English."
15,"If you cut down a cactus in Arizona, you’ll be penalized up to 25 years in jail. It is similar to cutting down a protected tree species."
16,The Buddha commonly depicted in statues and pictures is a different person entirely. The real Buddha was actually incredibly skinny because of self-deprivation.
17,"In Colorado, USA, there is still an active volcano. It last erupted about the same time as the pyramids were being built in Egypt."
18,The first movie ever to put out a motion-picture soundtrack was Snow White and the Seven Dwarves.
19,"If you point your car keys to your head, it increases the remote’s signal range."
20,"In order to protect themselves from poachers, African Elephants have been evolving without tusks, which unfortunately also hurts their species."
21,The scientific name for Giant Anteater is Myrmecophaga Tridactyla. This means “ant eating with three fingers”.
22,"Originally, cigarette filters were made out of cork, the look of which was incorporated into today’s pattern."
23,"In 1923, a jockey suffered a fatal heart attack but his horse finished and won the race, making him the first and only jockey to win a race after death."
24,"At birth, a baby panda is smaller than a mouse."
25,Iceland does not have a railway system.
26,"The largest known prime number has 17,425,170 digits. The new prime number is 2 multiplied by itself 57,885,161 times, minus 1."
27,"Forrest Fenn, an art dealer and author, hid a treasure chest in the Rocky Mountains worth over 1 million dollars. It still has not been found."
28,The lead singer of The Offspring started attending school to achieve a doctorate in molecular biology while still in the band. He graduated in May 2017.
29,The world’s largest grand piano was built by a 15-year-old in New Zealand.
30,"In order to keep Nazis away, a Polish doctor faked a typhus outbreak. This strategy staved 8,000 people."
31,"After the release of the 1996 film Scream, which involved an anonymous killer calling and murdering his victims, Caller ID usage tripled in the United States."
32,The spiked dog collar was invented by the Ancient Greeks to protect their dogs from wolf attacks.
33,"Jack Daniel (the founder of the whiskey) died from kicking a safe. When he kicked it, he broke his toe which got infected. He eventually died from blood poisoning."
34,There is a boss in Metal Gear Solid 3 that can be defeated by not playing the game for a week; or by changing the date.
35,"The Roman – Persian wars are the longest in history, lasting over 680 years. They began in 54 BC and ended in 628 AD."
36,Elton John tried to commit suicide once by sticking his head in an oven with the gas on low and windows open. He was found and stopped by his best friend Bernie Taupin.
37,"If you translate “Jesus” from Hebrew to English, the correct translation is “Joshua”. The name “Jesus” comes from translating the name from Hebrew, to Greek, to Latin, to English."
38,"Ed Sheeran bought a ticket to LA with no contacts. He was spotted by Jamie Foxx, who offered him the use of his recording studio and a bed in his Hollywood home for six weeks."
39,German Chocolate Cake is named after an American baker by the name of Samuel German.
40,The first service animals were established in Germany during World War I. References to service animals date as far back as the mid-16th Century.
41,An 11-year-old girl proposed the name for Pluto after the Roman god of the Underworld.
42,"The voice actor of SpongeBob and the voice actor of Karen, Plankton’s computer wife, have been married since 1995."
43,"An Italian banker, Gilberto Baschiera is considered a modern-day Robin Hood. Over the course of 7 years, he secretly diverted 1 million euros to poorer clients from the wealthy ones so they could qualify for loans. He made no profit and avoided jail in 2018 due to a plea bargain."
44,"Octopuses and squids have beaks. The beak is made of keratin – the same material that a bird’s beak, and our fingernails are made of."
45,An estimated 50% of all gold ever mined on Earth came from a single plateau in South Africa: Witwatersrand.
46,75% of the world’s diet is produced from just 12 plant and five different animal species.
47,The original Star Wars premiered on just 32 screens across the U.S. in 1977. This was to produce buzz as the release widened to more theaters.
48,"The British government coined the slogan, “Keep Calm and Carry on” during World War 2 in order to motivate citizens to stay strong."
49,"Apple paid a couple $1.7 million dollars for their plot of land, which was only worth $181,700."
50,"Tirana, the capital of Albania has a lot of things in common with other European capitals – except one.  It’s one of two capitals without a McDonalds. The second is Vatican City."
51,Joe Arridy had an IQ of 46 and is known as the “happiest prisoner on death row”. He went into the gas chamber with a smile. It turned out he was innocent.
